계약날짜,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문,동작구,마포구,서대문,서초구,성동구,성북구,송파구,양천구,영등포,용산구,은평구,종로구,중구 ,중랑구,합계
20060101,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
20060102,11.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0,8.0,4.0,2.0,1.0,3.0,1.0,10.0,1.0,1.0,6.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,72.0
20060103,18.0,4.0,0.0,8.0,5.0,0.0,3.0,1.0,8.0,3.0,2.0,2.0,3.0,2.0,8.0,2.0,1.0,13.0,9.0,6.0,1.0,0.0,1.0,0.0,2.0,102.0
20060104,22.0,11.0,1.0,4.0,1.0,1.0,2.0,2.0,14.0,5.0,3.0,4.0,4.0,2.0,13.0,4.0,2.0,11.0,8.0,8.0,0.0,0.0,1.0,0.0,1.0,124.0
20060105,22.0,9.0,1.0,5.0,4.0,2.0,1.0,2.0,11.0,3.0,4.0,2.0,3.0,0.0,6.0,4.0,2.0,18.0,8.0,3.0,2.0,2.0,0.0,0.0,0.0,114.0
20060106,31.0,10.0,0.0,7.0,3.0,2.0,3.0,1.0,10.0,1.0,1.0,0.0,4.0,2.0,12.0,4.0,0.0,18.0,7.0,7.0,2.0,1.0,0.0,0.0,3.0,129.0
20060107,30.0,24.0,0.0,11.0,5.0,4.0,5.0,2.0,20.0,1.0,2.0,8.0,10.0,4.0,16.0,4.0,2.0,18.0,13.0,9.0,7.0,3.0,0.0,0.0,1.0,199.0
20060108,11.0,5.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,7.0,0.0,0.0,6.0,3.0,10.0,1.0,1.0,0.0,0.0,1.0,61.0
20060109,34.0,21.0,2.0,9.0,9.0,4.0,8.0,1.0,22.0,6.0,2.0,10.0,4.0,2.0,20.0,6.0,3.0,26.0,16.0,10.0,3.0,0.0,1.0,2.0,3.0,224.0
20060110,29.0,15.0,1.0,13.0,4.0,2.0,14.0,6.0,29.0,7.0,2.0,8.0,11.0,3.0,26.0,4.0,0.0,17.0,19.0,11.0,5.0,4.0,1.0,2.0,4.0,237.0
20060111,23.0,14.0,2.0,9.0,5.0,0.0,8.0,3.0,15.0,7.0,3.0,8.0,4.0,4.0,18.0,5.0,2.0,22.0,20.0,5.0,6.0,1.0,2.0,2.0,2.0,190.0
20060112,21.0,15.0,1.0,17.0,8.0,3.0,6.0,3.0,20.0,6.0,4.0,5.0,6.0,3.0,27.0,3.0,1.0,15.0,24.0,12.0,7.0,3.0,1.0,2.0,3.0,216.0
20060113,32.0,17.0,2.0,6.0,7.0,3.0,6.0,3.0,11.0,5.0,1.0,6.0,6.0,4.0,23.0,9.0,0.0,15.0,18.0,10.0,3.0,2.0,0.0,0.0,4.0,193.0
20060114,29.0,28.0,1.0,18.0,8.0,3.0,8.0,2.0,21.0,4.0,7.0,11.0,6.0,2.0,18.0,7.0,4.0,33.0,27.0,11.0,6.0,1.0,0.0,1.0,4.0,260.0
20060115,14.0,5.0,1.0,3.0,6.0,1.0,6.0,5.0,3.0,0.0,0.0,5.0,3.0,1.0,25.0,0.0,3.0,3.0,5.0,6.0,3.0,2.0,0.0,2.0,1.0,103.0
20060116,48.0,26.0,4.0,16.0,11.0,7.0,8.0,4.0,31.0,7.0,8.0,8.0,10.0,8.0,17.0,4.0,8.0,26.0,28.0,18.0,6.0,0.0,2.0,3.0,5.0,313.0
