사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2016011600100485,2016년 1월 16일 19시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,37세,기타불명,승용,남,40세,경상
2016012800100383,2016년 1월 28일 16시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,45세,상해없음,승용,여,69세,경상
2016021300100278,2016년 2월 13일 16시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대사람 - 횡단중,교차로운행방법위반,포장 - 습기,비,교차로 - 교차로부근,승용,남,68세,상해없음,보행자,남,47세,경상
2016021500100497,2016년 2월 15일 20시,월요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,흐림,교차로 - 교차로안,승용,남,56세,상해없음,보행자,남,63세,중상
2016021900100051,2016년 2월 19일 03시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,45세,경상,승용,남,43세,상해없음
2016042400100493,2016년 4월 24일 21시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,38세,상해없음,승용,남,44세,경상
2016043000100388,2016년 4월 30일 15시,토요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,원동기,남,26세,상해없음,이륜,남,30세,중상
2016050400100782,2016년 5월 4일 23시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,여,41세,경상
2016061200100407,2016년 6월 12일 20시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,31세,기타불명,자전거,남,15세,경상
2016082900100237,2016년 8월 29일 11시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,68세,경상,승용,남,32세,경상
