사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010500100056,2018년 1월 5일 06시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,승용,남,57세,경상
2018020400100352,2018년 2월 4일 17시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,원동기,남,69세,경상,,,,
2018021900100194,2018년 2월 19일 13시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,승용,남,46세,경상
2018022300100086,2018년 2월 23일 06시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,61세,상해없음,승용,남,68세,경상
2018040600100107,2018년 4월 6일 06시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 터널,승용,남,35세,상해없음,건설기계,남,31세,경상
2018042300100387,2018년 4월 23일 17시,월요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,승용,여,38세,상해없음,보행자,여,59세,중상
2018050100100184,2018년 5월 1일 11시,화요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,24세,상해없음,승용,남,58세,경상
2018071100100591,2018년 7월 11일 22시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,이륜,남,46세,경상
2018071700100661,2018년 7월 17일 22시,화요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,19세,상해없음,승용,남,29세,경상
2018080100100260,2018년 8월 1일 12시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,여,50세,상해없음,자전거,남,24세,경상
2018080400100259,2018년 8월 4일 13시,토요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,38세,상해없음,보행자,여,61세,중상
2018081600100653,2018년 8월 16일 23시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,31세,상해없음,승용,남,29세,경상
2018082600100453,2018년 8월 26일 21시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,남,53세,상해없음,승용,여,56세,경상
2018090500100365,2018년 9월 5일 15시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,이륜,남,39세,경상
2018090800100425,2018년 9월 8일 16시,토요일,경기도 수원시 권선구 고색동,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,여,28세,부상신고
2018091500100027,2018년 9월 15일 01시,토요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,남,24세,상해없음,이륜,남,39세,중상
2018092600100457,2018년 9월 26일 23시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,57세,상해없음,이륜,남,25세,경상
