사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2016011900100541,2016년 1월 19일 23시,화요일,경기도 수원시 팔달구 인계동,부상신고사고,0,0,0,1,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승합,남,34세,상해없음
2016021800100024,2016년 2월 18일 01시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,상해없음,보행자,남,28세,경상
2016031000100025,2016년 3월 10일 01시,목요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,60세,상해없음,원동기,남,36세,중상
2016031100100007,2016년 3월 11일 00시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,1,차대차 - 정면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,이륜,남,27세,부상신고
2016031900100567,2016년 3월 19일 20시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,65세,경상
2016032600100087,2016년 3월 26일 04시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,남,18세,경상
2016040500100113,2016년 4월 5일 08시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,27세,경상
2016041300100164,2016년 4월 13일 08시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,26세,상해없음,보행자,남,35세,경상
2016042300100053,2016년 4월 23일 02시,토요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,31세,상해없음,보행자,여,25세,중상
2016042500100020,2016년 4월 25일 01시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,2,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,남,28세,부상신고
2016051200100011,2016년 5월 12일 00시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,보행자,여,44세,경상
2016051300100047,2016년 5월 13일 02시,금요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 습기,비,교차로 - 교차로부근,승용,남,54세,상해없음,이륜,남,25세,경상
2016051700100322,2016년 5월 17일 14시,화요일,경기도 수원시 팔달구 인계동,중상사고,0,1,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,이륜,남,17세,중상
2016051800100043,2016년 5월 18일 03시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,24세,상해없음,화물,남,46세,중상
2016052000100124,2016년 5월 20일 08시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,40세,경상
2016052200100060,2016년 5월 22일 03시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,남,43세,경상
2016052800100608,2016년 5월 28일 21시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,기타불명,기타불명,기타불명,보행자,여,18세,경상
2016061400100479,2016년 6월 14일 19시,화요일,경기도 수원시 팔달구 인계동,부상신고사고,0,0,0,1,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,기타불명,기타불명,기타불명,자전거,남,13세,부상신고
2016061800100026,2016년 6월 18일 01시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,25세,기타불명,보행자,남,42세,경상
2016070400100550,2016년 7월 4일 22시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 습기,비,교차로 - 교차로부근,승용,남,24세,기타불명,승용,남,40세,경상
2016070600100551,2016년 7월 6일 22시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,26세,상해없음,보행자,남,36세,경상
2016070900100318,2016년 7월 9일 13시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,이륜,남,41세,경상
2016082000100215,2016년 8월 20일 11시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,원동기,남,43세,상해없음,보행자,여,21세,경상
2016090400100278,2016년 9월 4일 15시,일요일,경기도 수원시 팔달구 인계동,부상신고사고,0,0,0,1,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,33세,부상신고,승합,남,48세,상해없음
2016090500100096,2016년 9월 5일 08시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,42세,상해없음,,,,
2016100400100128,2016년 10월 4일 08시,화요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,보행자,남,19세,중상
2016102600100669,2016년 10월 26일 22시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,33세,상해없음,승용,남,32세,상해없음
2016103000100077,2016년 10월 30일 03시,일요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,이륜,남,25세,중상
2016110600100086,2016년 11월 6일 06시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,37세,상해없음,보행자,여,35세,경상
2016111200100261,2016년 11월 12일 12시,토요일,경기도 수원시 팔달구 인계동,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,이륜,남,66세,중상
2016111200100617,2016년 11월 12일 22시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,23세,상해없음,보행자,여,20세,경상
2016111300100056,2016년 11월 13일 03시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 습기,비,단일로 - 기타,승용,남,31세,상해없음,보행자,남,24세,경상
2016112300100040,2016년 11월 23일 02시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,보행자,남,53세,중상
2016120300100644,2016년 12월 3일 23시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,기타불명,보행자,남,26세,경상
2016122400100034,2016년 12월 24일 01시,토요일,경기도 수원시 팔달구 인계동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,59세,상해없음,보행자,남,24세,사망
2016122400100035,2016년 12월 24일 01시,토요일,경기도 수원시 팔달구 인계동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,기타불명,기타불명,기타불명,화물,남,22세,부상신고
2016122700100036,2016년 12월 27일 02시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 습기,흐림,단일로 - 기타,승용,남,49세,상해없음,보행자,여,47세,경상
2016123000100107,2016년 12월 30일 05시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,보행자,여,27세,경상
2017010200100225,2017년 1월 2일 13시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,30세,상해없음,보행자,여,27세,경상
2017010300100363,2017년 1월 3일 16시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,70세,상해없음,승용,남,32세,경상
2017010700100094,2017년 1월 7일 04시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,36세,상해없음,승용,남,27세,경상
2017011500100028,2017년 1월 15일 01시,일요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,보행자,남,22세,중상
2017011500100200,2017년 1월 15일 13시,일요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,남,24세,중상
