사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018012200100014,2018년 1월 22일 01시,월요일,경기도 수원시 팔달구 인계동,중상사고,0,2,0,0,차대차 - 측면충돌,신호위반,포장 - 젖음/습기,눈,교차로 - 교차로안,승용,남,58세,상해없음,승용,남,60세,중상
2018020300100099,2018년 2월 3일 05시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 서리/결빙,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,37세,경상
2018020400100036,2018년 2월 4일 01시,일요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,37세,상해없음,보행자,남,47세,중상
2018020700100048,2018년 2월 7일 04시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 추돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,24세,상해없음,승용,남,59세,기타불명
2018030700100177,2018년 3월 7일 11시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,28세,상해없음,보행자,남,37세,경상
2018032100100506,2018년 3월 21일 21시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,50세,상해없음,승용,남,25세,중상
2018040100100445,2018년 4월 1일 22시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,35세,상해없음,승용,여,56세,경상
2018040900100070,2018년 4월 9일 07시,월요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,27세,상해없음,이륜,여,56세,중상
2018040900100396,2018년 4월 9일 16시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,승합,여,60세,상해없음,이륜,남,32세,경상
2018041600100027,2018년 4월 16일 03시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,승용,남,45세,경상
2018052800100620,2018년 5월 28일 23시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,승용,남,32세,경상
2018061200100009,2018년 6월 12일 00시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 기타,신호위반,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,36세,상해없음,승용,여,24세,경상
2018070500100234,2018년 7월 5일 12시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,55세,상해없음
2018072000100247,2018년 7월 20일 11시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,여,33세,경상,승합,남,73세,기타불명
2018072100100250,2018년 7월 21일 12시,토요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,32세,상해없음,이륜,남,32세,중상
2018080800100221,2018년 8월 8일 12시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,보행자,여,20세,경상
2018082300100517,2018년 8월 23일 23시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,비포장 - 젖음/습기,비,단일로 - 기타,승용,남,31세,상해없음,이륜,남,35세,경상
2018082900100289,2018년 8월 29일 14시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승용,여,48세,경상
2018082900100469,2018년 8월 29일 19시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,60세,상해없음,승용,남,25세,경상
2018090300100662,2018년 9월 3일 23시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,39세,상해없음,승용,남,33세,경상
2018091600100022,2018년 9월 16일 01시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,과속,포장 - 건조,흐림,단일로 - 기타,승용,남,42세,상해없음,승용,남,60세,경상
2018092100100843,2018년 9월 21일 23시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,20세,상해없음,승용,여,50세,경상
2018092300100205,2018년 9월 23일 14시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,승용,남,49세,경상
2018100200100033,2018년 10월 2일 04시,화요일,경기도 수원시 팔달구 인계동,중상사고,0,1,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,39세,경상,이륜,남,57세,중상
2018100800100603,2018년 10월 8일 21시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,4,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,22세,경상
2018102100100323,2018년 10월 21일 16시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,66세,상해없음,승용,여,49세,경상
2018110300100117,2018년 11월 3일 08시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,62세,상해없음,보행자,여,28세,경상
2018111100100385,2018년 11월 11일 19시,일요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,이륜,남,38세,중상
2018111200100028,2018년 11월 12일 05시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,2,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,60세,상해없음
2018111400100360,2018년 11월 14일 15시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,27세,경상,승용,남,47세,상해없음
2018121400100020,2018년 12월 14일 01시,금요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,포장 - 서리/결빙,맑음,교차로 - 교차로안,승용,남,24세,상해없음,보행자,여,62세,중상
2018122000100045,2018년 12월 20일 04시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,23세,상해없음,승용,남,59세,경상
2019010100100210,2019년 1월 1일 15시,화요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 기타,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,51세,중상
2019010300100076,2019년 1월 3일 06시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,71세,경상
2019010300100433,2019년 1월 3일 19시,목요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,여,70세,중상
2019011600100022,2019년 1월 16일 00시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,이륜,남,24세,중상
2019011800100306,2019년 1월 18일 14시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,28세,경상
2019012400100589,2019년 1월 24일 23시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,41세,경상,승용,남,51세,상해없음
2019013000100353,2019년 1월 30일 16시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,이륜,남,45세,경상
2019020800100119,2019년 2월 8일 09시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,25세,상해없음,승용,여,47세,경상
2019021500100363,2019년 2월 15일 14시,금요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,여,47세,중상,승용,남,48세,상해없음
2019031000100051,2019년 3월 10일 02시,일요일,경기도 수원시 팔달구 인계동,중상사고,0,3,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,25세,경상,승용,여,31세,중상
2019040700100048,2019년 4월 7일 01시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,23세,경상,승용,남,30세,경상
2019040900100605,2019년 4월 9일 21시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,여,53세,경상
2019041000100251,2019년 4월 10일 11시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,자전거,여,54세,중상
2019041700100575,2019년 4월 17일 20시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,35세,상해없음,보행자,여,51세,중상
2019041900100605,2019년 4월 19일 20시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,남,39세,경상
2019042600100659,2019년 4월 26일 21시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,흐림,교차로 - 교차로부근,승용,남,43세,상해없음,승용,남,46세,경상
2019050100100078,2019년 5월 1일 03시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,21세,상해없음,보행자,남,41세,경상
2019050700100030,2019년 5월 7일 00시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,승용,남,72세,경상
2019051200100084,2019년 5월 12일 05시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,50세,상해없음,승용,남,71세,경상
2019061400100521,2019년 6월 14일 18시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,이륜,남,26세,경상
2019080600100114,2019년 8월 6일 08시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,49세,상해없음,승용,남,41세,경상
2019081200100052,2019년 8월 12일 01시,월요일,경기도 수원시 팔달구 인계동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,52세,상해없음,승용,남,26세,부상신고
2019081300100571,2019년 8월 13일 19시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,33세,상해없음,이륜,남,45세,경상
2019081700100065,2019년 8월 17일 03시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,이륜,남,40세,경상
2019083100100699,2019년 8월 31일 21시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,36세,상해없음,승용,남,36세,경상
2019090500100057,2019년 9월 5일 02시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 기타,교차로운행방법위반,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,여,37세,상해없음,승용,남,38세,경상
2019090500100355,2019년 9월 5일 14시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,65세,상해없음,승용,여,59세,경상
2019090800100185,2019년 9월 8일 12시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,69세,상해없음,승용,남,45세,경상
2019091000100056,2019년 9월 10일 02시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,26세,상해없음,보행자,남,72세,경상
2019091200100042,2019년 9월 12일 01시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,승용,남,70세,상해없음
2019100200100905,2019년 10월 2일 23시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,포장 - 젖음/습기,비,기타 - 기타,이륜,남,35세,상해없음,보행자,남,30세,경상
2019110100100586,2019년 11월 1일 18시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,49세,상해없음,승용,남,30세,상해없음
2019110800100607,2019년 11월 8일 18시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,이륜,남,62세,상해없음,승용,여,40세,경상
2019111700100075,2019년 11월 17일 02시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,52세,상해없음,승용,남,61세,상해없음
2019112000100451,2019년 11월 20일 15시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,58세,상해없음,보행자,여,26세,경상
