,0
0,"37.54902336359439, 126.96984801856223"
1,"37.56009888432412, 127.16592630953514"
2,"37.55894527614879, 126.86500060698242"
3,"37.52037585948657, 126.90090006663101"
4,"37.53180492728379, 126.88186913781144"
5,"37.63129866527381, 126.92149679290979"
6,"37.470820643084416, 126.9415027955485"
7,"37.55730700739288, 127.01218245045605"
8,"37.563165876558415, 127.1725424599846"
9,"37.551296393797415, 127.00082002972616"
10,"37.537989614184156, 127.08965801926155"
11,"37.682420286622374, 127.05517404322744"
12,"37.66948119345724, 127.04340836113977"
13,"37.58175278462279, 127.00192586215564"
14,"37.51205142647489, 127.09292371378605"
15,"37.61956770249502, 127.05374594737758"
16,"37.47939251162108, 126.84199286815378"
17,"37.566175297891654, 126.91385171941232"
18,"37.51608460909756, 127.09113476621376"
19,"37.53493033985047, 126.87826830397194"
20,"37.466512773915866, 127.11845974731607"
21,"37.49589075631976, 127.02874694702969"
22,"37.51273964119075, 126.86586201626581"
23,"37.52461017633203, 127.02845957488675"
24,"37.46055915780303, 126.98742131936135"
25,"37.54547930524528, 127.0802492539692"
26,"37.57064293085035, 127.0337738985535"
27,"37.568257593731154, 126.84118814894836"
28,"37.4874903791385, 126.98508408924656"
29,"37.49252199888997, 127.02800188047465"
30,"37.60771322025204, 127.02925064376811"
31,"37.61104757857572, 127.06287008859601"
32,"37.638743120820024, 127.02889912147089"
33,"37.64152459223952, 127.04047605390265"
34,"37.486748954874216, 126.89447279203472"
35,"37.61479062093931, 127.06495604684513"
36,"37.554434695454944, 126.84055701326417"
37,"37.53818333891386, 127.0833283800107"
38,"37.576060958407915, 126.89964146777072"
39,"37.530945796180504, 127.08649626647504"
40,"37.59463547563714, 127.09513530944065"
41,"37.61120674608707, 126.91713895330065"
42,"37.565992586004995, 126.91893828161025"
43,"37.499475033529556, 126.98512181240906"
44,"37.54721512864991, 127.13458896974568"
45,"37.550984250896796, 127.03216655571354"
46,"37.61612152488212, 127.0857296609975"
47,"37.58011046153746, 126.9365675583563"
48,"37.641889519033036, 127.02128140560424"
49,"37.55393023071721, 126.91690421374054"
50,"37.4874307979696, 126.83964505858734"
51,"37.555035878531164, 127.11246317229775"
52,"37.54321712313976, 126.92950650278758"
53,"37.630728710508976, 127.0416878271791"
54,"37.56055855360772, 127.07137811112754"
55,"37.484356323178396, 126.93690950822491"
56,"37.676386056367356, 127.05523222059418"
57,"37.63890260998291, 126.93569014604248"
58,"37.56586944419429, 126.91148982019033"
59,"37.55677232562817, 126.92351009801206"
60,"37.557876420552205, 126.91342474511356"
61,"37.4874423046489, 126.89747541661977"
62,"37.62008210251265, 127.08773200291277"
63,"37.561378274568455, 126.98927715149878"
64,"37.61660946846949, 127.04941946133063"
65,"37.513438036437535, 126.83442418741025"
66,"37.573477298783374, 126.81795134441124"
67,"37.4780814393525, 126.95956684699973"
68,"37.581580947640724, 126.96209189431677"
69,"37.501465289257325, 127.06723185281264"
70,"37.47163844342608, 126.89797871260792"
71,"37.618828798864534, 127.04583611375247"
72,"37.68631454255522, 127.05055789589353"
73,"37.566195886740296, 126.9792864421462"
74,"37.57328964471393, 127.00227158979948"
75,"37.65690203025504, 127.0496175977767"
76,"37.47643436584704, 126.98146433126533"
77,"37.54776411137939, 126.91970321645057"
78,"37.64247669843477, 127.03206301606038"
79,"37.4919768956091, 126.89503939974551"
80,"37.57345963349484, 126.89912408143998"
81,"37.5769020798862, 126.95535834653319"
82,"37.53297741069771, 127.12112659521094"
83,"37.620115763630224, 127.01495886687644"
84,"37.55776264469824, 127.04089608508214"
85,"37.48418032502409, 127.10431790057918"
86,"37.53036423468919, 127.00671364718247"
87,"37.66300973907708, 127.04239863736522"
88,"37.53086105927961, 127.00761298624852"
89,"37.643125131825414, 127.01106218405062"
90,"37.492013566602445, 126.98851572563413"
91,"37.48719194446071, 126.81889807573842"
92,"37.459101794608415, 126.89740227364908"
93,"37.53726263602402, 127.0928813371372"
94,"37.54364936154108, 126.88209727174134"
95,"37.556276105691154, 127.0883722274519"
96,"37.544484716412676, 127.1672518323153"
97,"37.507939008638004, 127.01143015345275"
98,"37.586719651597136, 127.04011506609665"
99,"37.513528971411624, 127.12315558309153"
100,"37.54756083913306, 126.95825741349813"
101,"37.470657534067875, 126.90283842588312"
102,"37.53257381929504, 127.0851540767388"
103,"37.44862233619163, 127.05545907051953"
104,"37.59009076457298, 127.05611633679356"
105,"37.596449821715815, 127.01522318238054"
106,"37.559074234158324, 126.84374838043712"
107,"37.50934901822052, 126.9989454500553"
108,"37.56611177347444, 127.17764149528288"
109,"37.57798211065131, 127.01525568575316"
110,"37.495547852013345, 126.82546334340446"
111,"37.51433024196722, 127.12176599506711"
112,"37.52549995047924, 126.86987177698882"
113,"37.574393138268654, 126.97872754046583"
114,"37.604086408135906, 127.02667669794644"
115,"37.5893168762763, 127.09662364294704"
116,"37.57810549923566, 127.08599395112525"
117,"37.62010538134026, 126.91613421331235"
118,"37.56010326555662, 127.01410300237993"
119,"37.57334908609202, 126.99748171338506"
120,"37.484112538877994, 127.04517510444467"
121,"37.566588702759205, 126.96232253038195"
122,"37.648692915132884, 127.05229127566957"
123,"37.50007903964638, 126.99793239192101"
124,"37.618437278996666, 127.05730897176605"
125,"37.49995528192724, 126.92014040461726"
126,"37.63806648709418, 127.0256145352303"
127,"37.601789365811904, 126.98144921178125"
128,"37.59174617994857, 127.04347643219639"
129,"37.55379630785027, 126.91016033156808"
130,"37.66142372115653, 127.05882568101238"
131,"37.57245204208988, 126.96061256677558"
132,"37.54780405461998, 126.87852609981412"
133,"37.66159335808988, 127.06180598944682"
134,"37.61013824126916, 126.91886929639375"
135,"37.581926531229904, 126.88852313386585"
136,"37.609082339028504, 127.03069423507887"
137,"37.50940385823022, 126.88253902135231"
138,"37.568775157884524, 126.9980467428992"
139,"37.58089030506977, 127.01776262067241"
140,"37.512030742771955, 126.9401803073018"
141,"37.479696928641175, 126.94231464237481"
142,"37.550390319660096, 126.81887882451831"
143,"37.55593655210019, 126.82110921359873"
144,"37.545892528720344, 127.1619938554197"
145,"37.488486503759674, 127.02845622465256"
146,"37.61719258410192, 127.03006096172793"
147,"37.63341898305858, 126.93027953593871"
148,"37.598905878008445, 127.00661923336959"
149,"37.52427357495132, 127.02241290401912"
150,"37.47366520468856, 127.03420062939928"
151,"37.47805207347049, 127.04455416756063"
152,"37.57238855307452, 126.908247219301"
153,"37.52302900857414, 126.90316589621155"
154,"37.517015533146264, 126.92812881389875"
155,"37.50697449318992, 126.89241208603588"
156,"37.50863049601098, 127.10368745279388"
157,"37.53965235941433, 126.93923045015029"
158,"37.49066538575858, 126.88415942345429"
159,"37.55588381284305, 126.9556226267289"
160,"37.56374832960995, 127.04818867718863"
161,"37.510995368691574, 127.00693989563389"
162,"37.61821896105525, 126.90600952508157"
163,"37.551322542589965, 126.86469497216797"
164,"37.50519996125086, 127.10756521500453"
165,"37.480151497674655, 126.9556972740342"
166,"37.63112304973321, 127.07019380266969"
167,"37.597283808278235, 127.06813181023973"
168,"37.54250114544318, 127.12468532218351"
169,"37.50692452688606, 126.96664820297721"
170,"37.545486183157486, 127.08005153299476"
171,"37.54351330644109, 127.02831516402676"
172,"37.505606864135665, 127.05274857984712"
173,"37.51157852320914, 127.061518942331"
174,"37.64522934947166, 127.04859051835383"
175,"37.48283159276151, 126.92797036341067"
176,"37.51457712843021, 126.95116366665384"
177,"37.514706816419604, 127.06002729865527"
178,"37.518894404160235, 126.8983158139918"
179,"37.451272838289654, 126.90156939065228"
180,"37.57295176041375, 127.07399539352535"
181,"37.57691121910366, 126.95566311629534"
182,"37.66248407873407, 127.0349045337292"
183,"37.56963451429484, 127.03015510013199"
184,"37.60310820588645, 127.07437071588562"
185,"37.47885946032446, 127.04740678326284"
186,"37.52293966923825, 127.01635014574704"
187,"37.68359530365507, 127.04580791612908"
188,"37.48741933470415, 126.92874888561215"
189,"37.57519903320349, 126.91393849034786"
190,"37.56542688201612, 126.92999984549313"
191,"37.58671176703393, 127.04771209724693"
192,"37.4574356353235, 126.89370552436155"
193,"37.54967197313094, 126.94150677336779"
194,"37.53201131301398, 126.90565729043578"
